"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Main Page","Testing Promo Block","","0","0","56","0","0"
"Orders and Returns","","","0","0","3","0","0"
"Test Footer","","","0","0","100","1","0"
"Test Header","","","0","0","53","0","0"
"","New Customers","","0","0","5","0","0"
"","","","0","0","14","0","0"
"Create An Account","","","0","0","29","1","0"
"Sale Page","Testing Promo Blocks, Main Block (Women's Deals) and 2 columns block - Men's Bargain, Gear Steals","","0","1","14","0","0"
"Forgot Your Password Page","","","0","0","18","0","0"
"Sale Page","Testing Side Menu Bar - Men's Deals Section","","0","0","10","1","0"
"Sign In Page","Registered Customers","","0","0","17","0","0"
"","Shopping Cart is full","","0","0","17","0","0"
"MenPage","","","0","0","37","0","0"
"Main Page","Testing Hot Seller Section","","0","0","14","3","0"
"Sale Page","Testing Side Menu Bar - Women's Deals Section","","0","0","13","0","0"
"","Login Functionality with captcha","","0","0","0","15","0"
"Sale Page","Testing Side Menu Bar - Gear Deals Section","","0","0","5","0","0"
"Test Training Video","","","0","0","6","0","0"
"WomenPage","","","0","0","6","0","0"
"Training Page","Testing Training Page Sidebar","","0","0","15","0","0"
"Shopping Cart","Shopping Cart is empty","","0","0","3","0","0"
"","Login Functionality","","0","0","5","0","0"
